Pot ID,Plant type,Block,Fertilizer type ,Dose  (N kg/ha),Application method,Date,Action Item,Plant height,Stem count Ph,pH_30days,EC (dS/cm)_30days,Fresh Biomass(gm) (30days),Date,Action Item,pH_48days,EC (dS/cm)_48days,Date,Action Item,pH_56days,EC (uS/cm)_56days,Fresh.Biomass (gm)_56days_2ndSplitdose,Cholorphyll content (Spad)_56days,Date,Action Item,pH_65days,EC (uS/cm)_65days
L6,L,2,UF,50,Split,20/09/2024,Before Fertilization ,,,5.48,0.2,5.72,8/10/2024,after Fertilization ,5.12,1.22,16/10/2024,First clip (before second split dose),4.78,1.81,6.84,41,25/10/2024,Measured ph and ec only ,4.68,1.91
L1,L,2,UF,0,Split,20/09/2024,Before Fertilization ,,,5.78,0.3,5.62,8/10/2024,after Fertilization ,5.45,1.3,16/10/2024,First clip (before second split dose),5.51,1.79,6.74,42,25/10/2024,Measured ph and ec only ,5.41,1.89
L9,L,2,MF,60,One-time,20/09/2024,Before Fertilization ,,,5.68,0.23,4.66,8/10/2024,after Fertilization ,5.11,1.08,16/10/2024,First clip (before second split dose),5.42,1.63,5.78,39.9,25/10/2024,Measured ph and ec only ,5.32,1.73
L5,L,2,UF,40,Split,20/09/2024,Before Fertilization ,,,5.98,0.35,3.27,8/10/2024,after Fertilization ,5.14,1.2,16/10/2024,First clip (before second split dose),5.32,1.66,4.39,38.4,25/10/2024,Measured ph and ec only ,5.22,1.76
L3,L,2,UF,20,Split,20/09/2024,Before Fertilization ,,,5.68,0.32,10.02,8/10/2024,after Fertilization ,5.13,1.21,16/10/2024,First clip (before second split dose),5.12,0.75,11.14,43.2,25/10/2024,Measured ph and ec only ,5.02,0.85
L4,L,2,UF,30,Split,20/09/2024,Before Fertilization ,,,5.35,0.35,9.03,8/10/2024,after Fertilization ,5.2,1.22,16/10/2024,First clip (before second split dose),4.44,1.86,10.15,44.5,25/10/2024,Measured ph and ec only ,4.34,1.96
L8,L,2,MF,30,One-time,20/09/2024,Before Fertilization ,,,5.54,0.36,7.24,8/10/2024,after Fertilization ,5.11,1.3,16/10/2024,First clip (before second split dose),5.32,1.74,8.36,45.5,25/10/2024,Measured ph and ec only ,5.22,1.84
L7,L,2,UF,60,Split,20/09/2024,Before Fertilization ,,,5.68,0.29,6.56,8/10/2024,after Fertilization ,5.21,1.08,16/10/2024,First clip (before second split dose),4.98,1.6,7.68,44.8,25/10/2024,Measured ph and ec only ,4.88,1.7
L2,L,2,UF,10,Split,20/09/2024,Before Fertilization ,,,5.94,0.35,6.44,8/10/2024,after Fertilization ,5.32,1.2,16/10/2024,First clip (before second split dose),5.32,1.52,7.56,40.4,25/10/2024,Measured ph and ec only ,5.22,1.62
L11,L,2,UF,60,One-time,20/09/2024,Before Fertilization ,,,5.64,0.36,5.17,8/10/2024,after Fertilization ,4.69,1.21,16/10/2024,First clip (before second split dose),4.51,1.34,6.29,40.1,25/10/2024,Measured ph and ec only ,4.41,1.44
L5,L,3,UF,40,Split,20/09/2024,Before Fertilization ,,,5.78,0.35,5.75,8/10/2024,after Fertilization ,5.12,1.21,16/10/2024,First clip (before second split dose),5.48,1.79,6.87,48.3,25/10/2024,Measured ph and ec only ,5.38,1.89
L6,L,3,UF,50,Split,20/09/2024,Before Fertilization ,,,5.68,0.34,5.6,8/10/2024,after Fertilization ,5,1.3,16/10/2024,First clip (before second split dose),5.12,1.63,6.72,43.5,25/10/2024,Measured ph and ec only ,5.02,1.73
L10,L,3,UF,30,One-time,20/09/2024,Before Fertilization ,,,5.98,0.32,7.78,8/10/2024,after Fertilization ,4.78,1.22,16/10/2024,First clip (before second split dose),4.78,1.66,8.9,48.9,25/10/2024,Measured ph and ec only ,4.68,1.76
L2,L,3,UF,10,Split,20/09/2024,Before Fertilization ,,,5.68,0.25,6.39,8/10/2024,after Fertilization ,5.19,1.3,16/10/2024,First clip (before second split dose),5.32,0.75,7.51,35.8,25/10/2024,Measured ph and ec only ,5.22,0.85
L7,L,3,UF,60,Split,20/09/2024,Before Fertilization ,,,5.35,0.31,8.32,8/10/2024,after Fertilization ,5.03,1.08,16/10/2024,First clip (before second split dose),4.98,1.86,9.44,47,25/10/2024,Measured ph and ec only ,4.88,1.96
L4,L,3,UF,30,Split,20/09/2024,Before Fertilization ,,,5.54,0.32,12.76,8/10/2024,after Fertilization ,5.26,1.2,16/10/2024,First clip (before second split dose),5.32,1.74,13.88,47.7,25/10/2024,Measured ph and ec only ,5.22,1.84
L3,L,3,UF,20,Split,20/09/2024,Before Fertilization ,,,5.68,0.31,6.04,8/10/2024,after Fertilization ,5.49,1.21,16/10/2024,First clip (before second split dose),5.34,1.6,7.16,44.4,25/10/2024,Measured ph and ec only ,5.24,1.7
L11,L,3,UF,60,One-time,20/09/2024,Before Fertilization ,,,5.94,0.29,7.98,8/10/2024,after Fertilization ,4.76,1.22,16/10/2024,First clip (before second split dose),4.64,1.52,9.1,50.5,25/10/2024,Measured ph and ec only ,4.54,1.62
L1,L,3,UF,0,Split,20/09/2024,Before Fertilization ,,,5.64,0.28,9.22,8/10/2024,after Fertilization ,5.95,1.3,16/10/2024,First clip (before second split dose),5.55,1.34,10.34,35,25/10/2024,Measured ph and ec only ,5.45,1.44
L6,L,4,UF,50,Split,20/09/2024,Before Fertilization ,,,5.94,0.2,3.74,8/10/2024,after Fertilization ,4.99,1.2,16/10/2024,First clip (before second split dose),4.79,0.75,4.86,46.7,25/10/2024,Measured ph and ec only ,4.69,0.85
L2,L,4,UF,10,Split,20/09/2024,Before Fertilization ,,,5.54,0.3,4.01,8/10/2024,after Fertilization ,5.2,1.21,16/10/2024,First clip (before second split dose),5.43,1.86,5.13,43.7,25/10/2024,Measured ph and ec only ,5.33,1.96
L4,L,4,UF,30,Split,20/09/2024,Before Fertilization ,,,5.65,0.23,6.46,8/10/2024,after Fertilization ,5.15,1.3,16/10/2024,First clip (before second split dose),5.32,1.74,7.58,43.9,25/10/2024,Measured ph and ec only ,5.22,1.84
L10,L,4,UF,30,One-time,20/09/2024,Before Fertilization ,,,5.94,0.35,7.74,8/10/2024,after Fertilization ,4.77,1.08,16/10/2024,First clip (before second split dose),4.89,1.6,8.86,44.6,25/10/2024,Measured ph and ec only ,4.79,1.7
L9,L,4,MF,60,One-time,20/09/2024,Before Fertilization ,,,5.68,0.32,10.68,8/10/2024,after Fertilization ,5.01,1.2,16/10/2024,First clip (before second split dose),5.21,1.52,11.8,41.6,25/10/2024,Measured ph and ec only ,5.11,1.62
L5,L,4,UF,40,Split,20/09/2024,Before Fertilization ,,,5.65,0.35,9.72,8/10/2024,after Fertilization ,5.01,1.21,16/10/2024,First clip (before second split dose),5.12,1.34,10.84,50.1,25/10/2024,Measured ph and ec only ,5.02,1.44
L1,L,4,UF,0,Split,20/09/2024,Before Fertilization ,,,5.64,0.36,9.88,8/10/2024,after Fertilization ,4.75,1.23,16/10/2024,First clip (before second split dose),5.43,1.81,11,43.2,25/10/2024,Measured ph and ec only ,5.33,1.91
L7,L,4,UF,60,Split,20/09/2024,Before Fertilization ,,,5.78,0.29,12.09,8/10/2024,after Fertilization ,5.12,1.32,16/10/2024,First clip (before second split dose),4.89,1.79,13.21,44.9,25/10/2024,Measured ph and ec only ,4.79,1.89
L3,L,4,UF,20,Split,20/09/2024,Before Fertilization ,,,5.79,0.35,6.95,8/10/2024,after Fertilization ,5.22,1.27,16/10/2024,First clip (before second split dose),512,1.63,8.07,41.9,25/10/2024,Measured ph and ec only ,511.9,1.73
L5,L,5,UF,40,Split,20/09/2024,Before Fertilization ,,,5.94,0.35,6.61,8/10/2024,after Fertilization ,5.12,1.2,16/10/2024,First clip (before second split dose),4.98,0.75,7.73,42.6,25/10/2024,Measured ph and ec only ,4.88,0.85
L11,L,5,UF,60,One-time,20/09/2024,Before Fertilization ,,,5.54,0.34,4.88,8/10/2024,after Fertilization ,4.6,1.21,16/10/2024,First clip (before second split dose),4.55,1.86,6,45.8,25/10/2024,Measured ph and ec only ,4.45,1.96
L1,L,5,UF,0,Split,20/09/2024,Before Fertilization ,,,5.65,0.32,5.92,8/10/2024,after Fertilization ,5.3,1.22,16/10/2024,First clip (before second split dose),5.54,1.81,7.04,42.5,25/10/2024,Measured ph and ec only ,5.44,1.91
L8,L,5,MF,30,One-time,20/09/2024,Before Fertilization ,,,5.94,0.25,3.71,8/10/2024,after Fertilization ,5.01,1.3,16/10/2024,First clip (before second split dose),5.02,1.79,4.83,43.7,25/10/2024,Measured ph and ec only ,4.92,1.89
L6,L,5,UF,50,Split,20/09/2024,Before Fertilization ,,,5.68,0.31,3.2,8/10/2024,after Fertilization ,5.02,1.08,16/10/2024,First clip (before second split dose),4.98,1.63,4.32,41.5,25/10/2024,Measured ph and ec only ,4.88,1.73
L7,L,5,UF,60,Split,20/09/2024,Before Fertilization ,,,5.65,0.32,9.14,8/10/2024,after Fertilization ,5.11,1.2,16/10/2024,First clip (before second split dose),4.89,1.66,10.26,46.7,25/10/2024,Measured ph and ec only ,4.79,1.76
L4,L,5,UF,30,Split,20/09/2024,Before Fertilization ,,,5.64,0.31,9.23,8/10/2024,after Fertilization ,5.12,1.21,16/10/2024,First clip (before second split dose),5.32,0.75,10.35,45.5,25/10/2024,Measured ph and ec only ,5.22,0.85
L3,L,5,UF,20,Split,20/09/2024,Before Fertilization ,,,5.78,0.29,10.56,8/10/2024,after Fertilization ,5.13,1.23,16/10/2024,First clip (before second split dose),5.12,1.86,11.68,44.2,25/10/2024,Measured ph and ec only ,5.02,1.96
L2,L,5,UF,10,Split,20/09/2024,Before Fertilization ,,,5.79,0.28,7.1,8/10/2024,after Fertilization ,5.23,1.32,16/10/2024,First clip (before second split dose),5.2,1.74,8.22,44.9,25/10/2024,Measured ph and ec only ,5.1,1.84
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
