Pot ID,Plant type,S.No,Combined pot id,Block,Plant,Fertilizer type ,Dose  (N kg/ha),Treatment code,Application_method,Date,Action Item,Plant height,Stem count Ph,pH_30days,EC (dS/cm)_30days,Fresh_Biomass30days(gm),Dry_Biomass30days(gm),Date,Action Item,Days after First dose,pH_48days,EC (dS/cm)_48days,Date,Action Item,Days after First dose,pH_48days,EC (dS/cm)_48days,Date,Action Item,Day after first dose ,pH_56days,EC (uS/cm)_56days,Fresh.Biomass (gm)_56days_2ndSplitdose,Dry.Biomass (gm)_56days_2ndSplitdose,Cholorphyll content (Spad)_56days,Date,Action Item,Days after second dose,pH_65days,EC (uS/cm)_65days,Date,Action Item,Days after second dose,pH_76days,EC (uS/cm)_76days,Cholorphyll_content (Spad)_76days,Date,Action Item,Days after seond dose ,pH_88days,EC_88days(uS/cm),Cholorphyll_content_88days (Spad),Fresh_Biomass_88days ,Dry_Biomass_88days ,Date,Action Item,Days_after_third_dose,pH,EC (uS/cm),Date,Action Item,Days_after_third_dose,pH,EC (uS/cm),Date,Action Item,pH,EC (uS/cm),Cholorphyll_content (Spad),Fresh_Biomass_shoot_118days,Dry_Biomass_shoot_118days,Fresh_Biomass_root_118days,Dry_Biomass_root_118days,Nodules_count,Lechates Ph,Lechates EC,Notes,COMMENT,
L8,L,19,2L8,2,L,MF,30,8,One-time,20/09/2024,Before Fertilization ,,,5.54,0.36,5.5,,8/10/2024,after Fertilization first split dose ,6,5.11,1.3,26/10/2024,after Fertilization first split dose ,18,5.01,1.3,16/10/2024,First clip (before second split dose),30,5.32,1.74,8.36,,45.5,25/10/2024,Measured ph and ec only ,9,5.22,1.84,6/11/2024,Measured ph and ec only ,18,6.11,0.85,47.6,16/11/2024,third clip (before third  split dose),30,6.11,0.85,47.6,13.771,,21/11/2024,ph/ec only,6,5.1,1.96,8/12/2024,ph/ec only,18,5.2,1.96,16/12/2024,Harvest Day,5.2,1.96,45.9,16.17,6.96,12.79,6.35,6,6.2,1457,,,
L9,L,20,2L9,2,L,MF,60,9,One-time,20/09/2024,Before Fertilization ,,,5.68,0.23,5.66,,8/10/2024,after Fertilization first split dose ,6,5.11,1.08,26/10/2024,after Fertilization first split dose ,18,5.01,1.08,16/10/2024,First clip (before second split dose),30,5.42,1.63,5.78,,39.9,25/10/2024,Measured ph and ec only ,9,5.32,1.73,6/11/2024,Measured ph and ec only ,18,5.95,1.96,43,16/11/2024,third clip (before third  split dose),30,5.95,1.96,43,11.239,,21/11/2024,ph/ec only,6,5.29,1.84,8/12/2024,ph/ec only,18,5.39,1.84,16/12/2024,Harvest Day,5.39,1.84,41.2,14.41,5.97,10.14,5.63,0,6.39,875,,,
L11,L,12,2L11,2,L,UF,60,11,One-time,20/09/2024,Before Fertilization ,,,5.64,0.36,5.1,,8/10/2024,after Fertilization first split dose ,6,4.69,1.21,26/10/2024,after Fertilization first split dose ,18,4.59,1.21,16/10/2024,First clip (before second split dose),30,4.51,1.34,6.29,,40.1,25/10/2024,Measured ph and ec only ,9,4.41,1.44,6/11/2024,Measured ph and ec only ,18,5.5,1.44,49,16/11/2024,third clip (before third  split dose),30,5.5,1.44,49,16.022,,21/11/2024,ph/ec only,6,5.46,1.89,8/12/2024,ph/ec only,18,5.56,1.89,16/12/2024,Harvest Day,5.56,1.89,44,14.85,7.22,12.97,6.31,0,6.56,1279,,,
L1,L,21,3L1,3,L,None,0,1,Split,20/09/2024,Before Fertilization ,,,5.64,0.28,5.1,,8/10/2024,after Fertilization first split dose ,6,5.95,1.3,26/10/2024,after Fertilization first split dose ,18,5.85,1.3,16/10/2024,First clip (before second split dose),30,5.55,1.34,10.34,,35,25/10/2024,Measured ph and ec only ,9,5.45,1.44,6/11/2024,Measured ph and ec only ,18,6.23,1.44,35.73,16/11/2024,third clip (before third  split dose),30,6.23,1.44,35.73,10.76,,21/11/2024,ph/ec only,6,5.75,1.73,8/12/2024,ph/ec only,18,5.85,1.73,16/12/2024,Harvest Day,5.85,1.73,40,10.66,5.88,10.55,5.1,2,6.85,759,,,
L2,L,24,3L2,3,L,UF,10,2,Split,20/09/2024,Before Fertilization ,,,5.68,0.25,5.3,,8/10/2024,after Fertilization first split dose ,6,5.19,1.3,26/10/2024,after Fertilization first split dose ,18,5.09,1.3,16/10/2024,First clip (before second split dose),30,5.32,0.75,7.51,,35.8,25/10/2024,Measured ph and ec only ,9,5.22,0.85,6/11/2024,Measured ph and ec only ,18,5.9,0.85,36.53,16/11/2024,third clip (before third  split dose),30,5.9,0.85,36.53,14.871,,21/11/2024,ph/ec only,6,5.88,1.96,8/12/2024,ph/ec only,18,5.98,1.96,16/12/2024,Harvest Day,5.98,1.96,46.9,17.17,7.62,14.23,7.14,13,6.98,2100,,,
L3,L,25,3L3,3,L,UF,20,3,Split,20/09/2024,Before Fertilization ,,,5.68,0.31,4.98,,8/10/2024,after Fertilization first split dose ,6,5.49,1.21,26/10/2024,after Fertilization first split dose ,18,5.39,1.21,16/10/2024,First clip (before second split dose),30,5.34,1.6,7.16,,44.4,25/10/2024,Measured ph and ec only ,9,5.24,1.7,6/11/2024,Measured ph and ec only ,18,5.34,1.7,45.13,16/11/2024,third clip (before third  split dose),30,5.34,1.7,45.13,12.068,,21/11/2024,ph/ec only,6,5.17,1.62,8/12/2024,ph/ec only,18,5.27,1.62,16/12/2024,Harvest Day,5.27,1.62,41.8,13.2,7.11,15.2,6.49,14,6.27,794,,,
L4,L,26,3L4,3,L,UF,30,4,Split,20/09/2024,Before Fertilization ,,,5.54,0.32,5.5,,8/10/2024,after Fertilization first split dose ,6,5.26,1.2,26/10/2024,after Fertilization first split dose ,18,5.16,1.2,16/10/2024,First clip (before second split dose),30,5.32,1.74,13.88,,47.7,25/10/2024,Measured ph and ec only ,9,5.22,1.84,6/11/2024,Measured ph and ec only ,18,5.32,1.84,48.43,16/11/2024,third clip (before third  split dose),30,5.32,1.84,48.43,12.356,,21/11/2024,ph/ec only,6,5.47,1.7,8/12/2024,ph/ec only,18,5.57,1.7,16/12/2024,Harvest Day,5.57,1.7,45.4,18.38,8.48,20.72,8.74,2,6.57,1746,,,
L5,L,27,3L5,3,L,UF,40,5,Split,20/09/2024,Before Fertilization ,,,5.78,0.35,4.79,,8/10/2024,after Fertilization first split dose ,6,5.12,1.21,26/10/2024,after Fertilization first split dose ,18,5.02,1.21,16/10/2024,First clip (before second split dose),30,5.48,1.79,6.87,,48.3,25/10/2024,Measured ph and ec only ,9,5.38,1.89,6/11/2024,Measured ph and ec only ,18,5.21,1.89,49.03,16/11/2024,third clip (before third  split dose),30,5.21,1.89,49.03,14.708,,21/11/2024,ph/ec only,6,4.85,1.73,8/12/2024,ph/ec only,18,4.95,1.73,16/12/2024,Harvest Day,4.95,1.73,44.4,16.05,7.06,14.61,6.24,0,5.95,2191,,,
L6,L,28,3L6,3,L,UF,50,6,Split,20/09/2024,Before Fertilization ,,,5.68,0.34,5.66,,8/10/2024,after Fertilization first split dose ,6,5,1.3,26/10/2024,after Fertilization first split dose ,18,4.9,1.3,16/10/2024,First clip (before second split dose),30,5.12,1.63,6.72,,43.5,25/10/2024,Measured ph and ec only ,9,5.02,1.73,6/11/2024,Measured ph and ec only ,18,4.9,1.73,44.23,16/11/2024,third clip (before third  split dose),30,4.9,1.73,44.23,12.961,,21/11/2024,ph/ec only,6,4.93,1.76,8/12/2024,ph/ec only,18,5.03,1.76,16/12/2024,Harvest Day,5.03,1.76,53.1,16.2,7.37,15.58,6.85,0,6.03,731,,,
L7,L,29,3L7,3,L,UF,60,7,Split,20/09/2024,Before Fertilization ,,,5.35,0.31,5.3,,8/10/2024,after Fertilization first split dose ,6,5.03,1.08,26/10/2024,after Fertilization first split dose ,18,4.93,1.08,16/10/2024,First clip (before second split dose),30,4.98,1.86,9.44,,47,25/10/2024,Measured ph and ec only ,9,4.88,1.96,6/11/2024,Measured ph and ec only ,18,4.85,1.96,47.73,16/11/2024,third clip (before third  split dose),30,4.85,1.96,47.73,12.453,,21/11/2024,ph/ec only,6,4.82,1.84,8/12/2024,ph/ec only,18,4.92,1.84,16/12/2024,Harvest Day,4.92,1.84,45.6,20.21,8.6,16.18,7.18,1,5.92,2400,,,
L10,L,22,3L10,3,L,UF,30,10,One-time,20/09/2024,Before Fertilization ,,,5.98,0.32,4.98,,8/10/2024,after Fertilization first split dose ,6,4.78,1.22,26/10/2024,after Fertilization first split dose ,18,4.68,1.22,16/10/2024,First clip (before second split dose),30,4.78,1.66,8.9,,48.9,25/10/2024,Measured ph and ec only ,9,4.68,1.76,6/11/2024,Measured ph and ec only ,18,4.97,1.76,49.63,16/11/2024,third clip (before third  split dose),30,4.97,1.76,49.63,14.085,,21/11/2024,ph/ec only,6,5.05,0.85,8/12/2024,ph/ec only,18,5.15,0.85,16/12/2024,Harvest Day,5.15,0.85,43.1,17.52,7.58,14.11,6.51,2,6.15,2163,,,
L11,L,23,3L11,3,L,UF,60,11,One-time,20/09/2024,Before Fertilization ,,,5.94,0.29,4.7848,,8/10/2024,after Fertilization first split dose ,6,4.76,1.22,26/10/2024,after Fertilization first split dose ,18,4.66,1.22,16/10/2024,First clip (before second split dose),30,4.64,1.52,9.1,,50.5,25/10/2024,Measured ph and ec only ,9,4.54,1.62,6/11/2024,Measured ph and ec only ,18,4.87,1.62,51.23,16/11/2024,third clip (before third  split dose),30,4.87,1.62,51.23,16.412,,21/11/2024,ph/ec only,6,5.09,1.44,8/12/2024,ph/ec only,18,5.19,1.44,16/12/2024,Harvest Day,5.19,1.44,21.8,13.44,7.16,15.4,6.38,0,6.19,949,,,
L1,L,30,4L1,4,L,None,0,1,Split,20/09/2024,Before Fertilization ,,,5.64,0.36,4.98,,8/10/2024,after Fertilization first split dose ,6,4.75,1.23,26/10/2024,after Fertilization first split dose ,18,4.65,1.23,16/10/2024,First clip (before second split dose),30,5.43,1.81,11,,43.2,25/10/2024,Measured ph and ec only ,9,5.33,1.91,6/11/2024,Measured ph and ec only ,18,5.99,1.73,43.93,16/11/2024,third clip (before third  split dose),30,5.99,1.73,43.93,9.79,,21/11/2024,ph/ec only,6,5.52,1.76,8/12/2024,ph/ec only,18,5.62,1.76,16/12/2024,Harvest Day,5.62,1.76,43.93,16.04,7.2,12.24,5.74,0,6.62,920,,,
L2,L,32,4L2,4,L,UF,10,2,Split,20/09/2024,Before Fertilization ,,,5.54,0.3,5.66,,8/10/2024,after Fertilization first split dose ,6,5.2,1.21,26/10/2024,after Fertilization first split dose ,18,5.1,1.21,16/10/2024,First clip (before second split dose),30,5.43,1.86,5.13,,43.7,25/10/2024,Measured ph and ec only ,9,5.33,1.96,6/11/2024,Measured ph and ec only ,18,5.23,1.76,44.43,16/11/2024,third clip (before third  split dose),30,5.23,1.76,44.43,10.383,,21/11/2024,ph/ec only,6,5.75,0.85,8/12/2024,ph/ec only,18,5.85,0.85,16/12/2024,Harvest Day,5.85,0.85,44.43,14.92,6.69,11.71,6.05,0,6.85,875,,,
L3,L,33,4L3,4,L,UF,20,3,Split,20/09/2024,Before Fertilization ,,,5.79,0.35,5.1,,8/10/2024,after Fertilization first split dose ,6,5.22,1.27,26/10/2024,after Fertilization first split dose ,18,5.12,1.27,16/10/2024,First clip (before second split dose),30,512,1.63,8.07,,41.9,25/10/2024,Measured ph and ec only ,9,511.9,1.73,6/11/2024,Measured ph and ec only ,18,5.43,0.85,42.63,16/11/2024,third clip (before third  split dose),30,5.43,0.85,42.63,14.223,,21/11/2024,ph/ec only,6,5.4,1.96,8/12/2024,ph/ec only,18,5.5,1.96,16/12/2024,Harvest Day,5.5,1.96,42.63,13.05,6.95,15.37,5.88,3,6.5,1457,,,
L4,L,34,4L4,4,L,UF,30,4,Split,20/09/2024,Before Fertilization ,,,5.65,0.23,4.98,,8/10/2024,after Fertilization first split dose ,6,5.15,1.3,26/10/2024,after Fertilization first split dose ,18,5.05,1.3,16/10/2024,First clip (before second split dose),30,5.32,1.74,7.58,,43.9,25/10/2024,Measured ph and ec only ,9,5.22,1.84,6/11/2024,Measured ph and ec only ,18,5.21,0.85,44.63,16/11/2024,third clip (before third  split dose),30,5.21,0.85,44.63,14.266,,21/11/2024,ph/ec only,6,5.45,1.96,8/12/2024,ph/ec only,18,5.55,1.96,16/12/2024,Harvest Day,5.55,1.96,44.63,16.64,7.28,14.18,7.06,1,6.55,1025,,,
L5,L,35,4L5,4,L,UF,40,5,Split,20/09/2024,Before Fertilization ,,,5.65,0.35,5.5,,8/10/2024,after Fertilization first split dose ,6,5.01,1.21,26/10/2024,after Fertilization first split dose ,18,4.91,1.21,16/10/2024,First clip (before second split dose),30,5.12,1.34,10.84,,50.1,25/10/2024,Measured ph and ec only ,9,5.02,1.44,6/11/2024,Measured ph and ec only ,18,4.9,1.89,50.83,16/11/2024,third clip (before third  split dose),30,4.9,1.89,50.83,12.651,,21/11/2024,ph/ec only,6,5.3,1.73,8/12/2024,ph/ec only,18,5.4,1.73,16/12/2024,Harvest Day,5.4,1.73,50.83,16.79,7.56,16.53,6.59,1,6.4,1025,,,
L6,L,36,4L6,4,L,UF,50,6,Split,20/09/2024,Before Fertilization ,,,5.94,0.2,4.79,,8/10/2024,after Fertilization first split dose ,6,4.99,1.2,26/10/2024,after Fertilization first split dose ,18,4.89,1.2,16/10/2024,First clip (before second split dose),30,4.79,0.75,4.86,,46.7,25/10/2024,Measured ph and ec only ,9,4.69,0.85,6/11/2024,Measured ph and ec only ,18,4.74,1.73,47.43,16/11/2024,third clip (before third  split dose),30,4.74,1.73,47.43,15.851,,21/11/2024,ph/ec only,6,4.6,1.76,8/12/2024,ph/ec only,18,4.7,1.76,16/12/2024,Harvest Day,4.7,1.76,47.43,16.35,7.24,11.32,7.56,1,5.7,872,,,
L7,L,37,4L7,4,L,UF,60,7,Split,20/09/2024,Before Fertilization ,,,5.78,0.29,4.7848,,8/10/2024,after Fertilization first split dose ,6,5.12,1.32,26/10/2024,after Fertilization first split dose ,18,5.02,1.32,16/10/2024,First clip (before second split dose),30,4.89,1.79,13.21,,44.9,25/10/2024,Measured ph and ec only ,9,4.79,1.89,6/11/2024,Measured ph and ec only ,18,4.77,1.76,45.63,16/11/2024,third clip (before third  split dose),30,4.77,1.76,45.63,15.285,,21/11/2024,ph/ec only,6,4.45,0.85,8/12/2024,ph/ec only,18,4.55,0.85,16/12/2024,Harvest Day,4.55,0.85,45.63,16.44,7.8,18.17,6.04,2,5.55,827,,,
