S.No,Pot ID,Plant_type,Block,Block ,Plant,Treatment,Combined pot id,Fertilizer_type ,Dose_(N kg/ha),Application_method,Date,Action_Item,Days after sowing,Plant_height(cm),Stem_count(No.),pH_1,EC_1,Fresh_Biomass (gm)_35days,Dry_Biomass (gm)_35days,Date,Action_Item,Days after first Dose,pH_2 ,EC_2,Date,Action_Item,Days after first dose,pH_3,EC_3,Date,Action_Item,Days after first Dose,pH_4,EC_4,CholorophyllContent_66days,Fresh_Biomass(gm)_66days,Dry_Biomass(gm)_66days,Date,Action_Item,Days after second dose,pH_5,EC_5,Date,Action_Item,pH_6,EC_6,Date,Action_Item,pH_7,EC_7,CholorophyllContent_95days,Fresh_Biomass (gm)_95days,Dry_Biomass (gm)_95days,Date,Action_Item,Days after third  dose,pH_8,EC_8,Date,Action_Item,Days after third  dose,pH_9,EC_9,Date,Action_Item,Days after third  dose,ph_10,EC_10,CholorophyllContent_125daysHD,Fresh_shoot_  Biomass(g)_125daysHD ,Dry_shoot_  Biomass(g)_125daysHD ,Fresh_root_biomass(g)_125daysHD,Dry_root_biomass(g)_125daysHD,Lechates_Ph_125daysHD,Lechates_EC_125daysHD(Us/cm),Notes
11,P1,P,2,2,P,1,2P1,Control,0,Split,3/09/2024,Before Fertilization ,35,32,2,6.2,0.34,6.32,3.91,8/09/2024,Measure ec and ph,5,5.46,0.3,20/09/2024,Measure ec and ph,18,5.56,0.3,3/10/2024,Second clip (before second split dose),30,5.66,0.21,36,12.384,4.6,15/10/2024,Measured ph and ec only ,,5.56,0.31,25/10/2024,Measured ph and ec only ,5.44,1.94,3/11/2024,third clip before third dose,5.34,1.96,37.35,16.08,5.87,9/11/2024,Measured ph and ec only ,6,5.56,0.31,25/11/2024,Measured ph and ec only ,18,5.44,1.94,4/12/2024,Harvest Day,30,6.1,1.53,29.9,15.94,6.64,25.97,6.37,6.59,1457,
12,P2,P,2,2,P,2,2P2,UF,20,Split,3/09/2024,Before Fertilization ,35,30,2,6.25,0.28,5.717,3.85,8/09/2024,Measure ec and ph,5,4.88,0.212,20/09/2024,Measure ec and ph,18,4.98,0.212,3/10/2024,Second clip (before second split dose),30,5.08,0.231,43.9,11.4365,4.75,15/10/2024,Measured ph and ec only ,,4.98,0.331,25/10/2024,Measured ph and ec only ,4.86,1.67,3/11/2024,third clip before third dose,4.76,1.71,45.25,17.87,5.95,9/11/2024,Measured ph and ec only ,6,4.98,0.331,25/11/2024,Measured ph and ec only ,18,4.86,1.67,4/12/2024,Harvest Day,30,5.5,2.28,35.9,23.67,8.6,15.04,8.06,6.01,2100,
13,P3,P,2,2,P,3,2P3,UF,40,Split,3/09/2024,Before Fertilization ,35,31,2,6.24,0.31,5.98,3.78,8/09/2024,Measure ec and ph,5,4.92,0.27,20/09/2024,Measure ec and ph,18,5.02,0.27,3/10/2024,Second clip (before second split dose),30,5.12,0.211,39.8,12.203,4.67,15/10/2024,Measured ph and ec only ,,5.02,0.311,25/10/2024,Measured ph and ec only ,4.9,0.9,3/11/2024,third clip before third dose,4.8,1.79,41.15,17.26,5.66,9/11/2024,Measured ph and ec only ,6,5.02,0.311,25/11/2024,Measured ph and ec only ,18,4.9,0.9,4/12/2024,Harvest Day,30,5.65,4.74,31.7,26.59,8.44,24.29,8.78,6.01,1279,
14,P4,P,2,2,P,4,2P4,UF,60,Split,3/09/2024,Before Fertilization ,35,39,2,6.28,0.32,6.33,3.78,8/09/2024,Measure ec and ph,5,4.28,0.24,20/09/2024,Measure ec and ph,18,4.38,0.24,3/10/2024,Second clip (before second split dose),30,4.48,0.231,25.7,14.133,4.9,15/10/2024,Measured ph and ec only ,,4.38,0.331,25/10/2024,Measured ph and ec only ,4.26,2.01,3/11/2024,third clip before third dose,4.16,2.25,27.05,17.85,5.98,9/11/2024,Measured ph and ec only ,6,4.38,0.331,25/11/2024,Measured ph and ec only ,18,4.26,2.01,4/12/2024,Harvest Day,30,5.27,2.28,37.8,27.52,6.7,24.15,6,5.85,2191,
15,P5,P,2,2,P,5,2P5,UF,80,Split,3/09/2024,Before Fertilization ,35,31,2,6.31,0.25,6.41,3.87,8/09/2024,Measure ec and ph,5,5.31,0.211,20/09/2024,Measure ec and ph,18,5.41,0.211,3/10/2024,Second clip (before second split dose),30,5.51,0.321,40.22,10.191,4.4,15/10/2024,Measured ph and ec only ,,5.41,0.421,25/10/2024,Measured ph and ec only ,5.29,1.81,3/11/2024,third clip before third dose,5.19,1.71,41.57,18.83,5.94,9/11/2024,Measured ph and ec only ,6,5.41,0.421,25/11/2024,Measured ph and ec only ,18,5.29,1.81,4/12/2024,Harvest Day,30,4.98,2.35,34.3,29.12,8.08,19.61,10.38,5.87,1279,
16,P6,P,2,2,P,6,2P6,UF,100,Split,3/09/2024,Before Fertilization ,35,32,2,6.4,0.35,5.717,4.13,8/09/2024,Measure ec and ph,5,5.75,0.29,20/09/2024,Measure ec and ph,18,5.85,0.29,3/10/2024,Second clip (before second split dose),30,5.95,0.2,35.6,9.9562,4.4,15/10/2024,Measured ph and ec only ,,5.85,0.3,25/10/2024,Measured ph and ec only ,5.73,1.96,3/11/2024,third clip before third dose,5.63,1.98,36.95,19.26,6.56,9/11/2024,Measured ph and ec only ,6,5.85,0.3,25/11/2024,Measured ph and ec only ,18,5.73,1.96,4/12/2024,Harvest Day,30,5.14,2.01,36.7,33.33,8.38,20.08,8.79,5.94,827,
17,P7,P,2,2,P,7,2P7,UF,120,Split,3/09/2024,Before Fertilization ,35,18,2,6.34,0.29,5.744,3.77,8/09/2024,Measure ec and ph,5,4.78,0.21,20/09/2024,Measure ec and ph,18,4.88,0.21,3/10/2024,Second clip (before second split dose),30,4.98,0.3,35.6,6.5482,4.22,15/10/2024,Measured ph and ec only ,,4.88,0.4,25/10/2024,Measured ph and ec only ,4.76,1.75,3/11/2024,third clip before third dose,4.66,1.71,36.95,13.89,5.3,9/11/2024,Measured ph and ec only ,6,4.88,0.4,25/11/2024,Measured ph and ec only ,18,4.76,1.75,4/12/2024,Harvest Day,30,4.82,1.62,29.2,21.24,7.25,15.15,6,5.85,2163,
18,P8,P,2,2,P,8,2P8,MF,60,One-time,3/09/2024,Before Fertilization ,35,38,2,6.35,0.31,6.7,3.9,8/09/2024,Measure ec and ph,5,4.98,0.22,20/09/2024,Measure ec and ph,18,5.08,0.22,3/10/2024,Second clip (before second split dose),30,5.18,0.211,37.7,11.326,4.74,15/10/2024,Measured ph and ec only ,,5.08,0.311,25/10/2024,Measured ph and ec only ,4.96,1.89,3/11/2024,third clip before third dose,4.86,2.75,39.05,18.33,5.64,9/11/2024,Measured ph and ec only ,6,5.08,0.311,25/11/2024,Measured ph and ec only ,18,4.96,1.89,4/12/2024,Harvest Day,30,5.94,2.26,38.6,15.24,6.39,22.56,7.53,6.01,731,
19,P9,P,2,2,P,9,2P9,MF,120,One-time,3/09/2024,Before Fertilization ,35,31,2,6.21,0.32,6.98,3.88,8/09/2024,Measure ec and ph,5,5.26,0.212,20/09/2024,Measure ec and ph,18,5.36,0.212,3/10/2024,Second clip (before second split dose),30,5.46,0.221,37,10.134,4.4,15/10/2024,Measured ph and ec only ,,5.36,0.321,25/10/2024,Measured ph and ec only ,5.24,1.78,3/11/2024,third clip before third dose,5.14,1.81,38.35,13.93,5.4,9/11/2024,Measured ph and ec only ,6,5.36,0.321,25/11/2024,Measured ph and ec only ,18,5.24,1.78,4/12/2024,Harvest Day,30,5.42,2.21,32.2,20.51,7.53,19.36,5.58,5.54,1679,
20,P11,P,2,2,P,11,2P11,UF,120,One-time,3/09/2024,Before Fertilization ,35,32,2,6.12,0.24,6.32,3.87,8/09/2024,Measure ec and ph,5,4.46,0.22,20/09/2024,Measure ec and ph,18,4.56,0.22,3/10/2024,Second clip (before second split dose),30,4.66,0.32,41.6,7.0154,4.17,15/10/2024,Measured ph and ec only ,,4.56,0.42,25/10/2024,Measured ph and ec only ,4.44,1.49,3/11/2024,third clip before third dose,4.34,1.79,42.95,11.76,5.26,9/11/2024,Measured ph and ec only ,6,4.56,0.42,25/11/2024,Measured ph and ec only ,18,4.44,1.49,4/12/2024,Harvest Day,30,5.29,1.65,35.4,25.95,8.46,12.98,6.54,5.3,2400,
21,P1,P,3,3,P,1,3P1,Control,0,Split,3/09/2024,Before Fertilization ,35,24,2,6.25,0.35,6.98,3.83,8/09/2024,Measure ec and ph,5,4.8,0.25,20/09/2024,Measure ec and ph,18,4.9,0.25,3/10/2024,Second clip (before second split dose),30,5,0.212,30,10.63,4.6,15/10/2024,Measured ph and ec only ,,4.9,0.312,25/10/2024,Measured ph and ec only ,4.78,1.49,3/11/2024,third clip before third dose,4.68,1.45,31.35,7.76,4.51,9/11/2024,Measured ph and ec only ,6,4.9,0.312,25/11/2024,Measured ph and ec only ,18,4.78,1.49,4/12/2024,Harvest Day,30,6.01,2.89,27.9,18.28,7.79,33.24,18.35,6.61,827,
22,P2,P,3,3,P,2,3P2,UF,20,Split,3/09/2024,Before Fertilization ,35,27,2,6.31,0.35,6.33,3.76,8/09/2024,Measure ec and ph,5,4.65,0.212,20/09/2024,Measure ec and ph,18,4.75,0.212,3/10/2024,Second clip (before second split dose),30,4.85,0.211,35.9,9.8405,4.39,15/10/2024,Measured ph and ec only ,,4.75,0.311,25/10/2024,Measured ph and ec only ,4.63,0.9,3/11/2024,third clip before third dose,4.53,1.71,37.25,13.21,5.27,9/11/2024,Measured ph and ec only ,6,4.75,0.311,25/11/2024,Measured ph and ec only ,18,4.63,0.9,4/12/2024,Harvest Day,30,5.6,2.35,26.6,20.98,8.29,26.62,15.12,6.2,759,
23,P3,P,3,3,P,3,3P3,UF,40,Split,3/09/2024,Before Fertilization ,35,34,2,6.35,0.36,5.717,3.88,8/09/2024,Measure ec and ph,5,4.65,0.22,20/09/2024,Measure ec and ph,18,4.75,0.22,3/10/2024,Second clip (before second split dose),30,4.85,0.22,22.9,15.377,5.11,15/10/2024,Measured ph and ec only ,,4.75,0.32,25/10/2024,Measured ph and ec only ,4.63,1.75,3/11/2024,third clip before third dose,4.53,2.75,24.25,15.82,6.41,9/11/2024,Measured ph and ec only ,6,4.75,0.32,25/11/2024,Measured ph and ec only ,18,4.63,1.75,4/12/2024,Harvest Day,30,5.55,2.9,29.2,24.35,10.26,27.72,25.09,6.15,1025,
24,P4,P,3,3,P,4,3P4,UF,60,Split,3/09/2024,Before Fertilization ,35,30,2,6.28,0.35,5.744,3.8,8/09/2024,Measure ec and ph,5,4.73,0.212,20/09/2024,Measure ec and ph,18,4.83,0.212,3/10/2024,Second clip (before second split dose),30,4.93,0.24,28.6,15.4624,5.1,15/10/2024,Measured ph and ec only ,,4.83,0.34,25/10/2024,Measured ph and ec only ,4.71,1.89,3/11/2024,third clip before third dose,4.61,2.25,29.95,16,6.05,9/11/2024,Measured ph and ec only ,6,4.83,0.34,25/11/2024,Measured ph and ec only ,18,4.71,1.89,4/12/2024,Harvest Day,30,5.35,3.1,31.3,27.74,9.86,29.42,13.97,5.95,875,
25,P5,P,3,3,P,5,3P5,UF,80,Split,3/09/2024,Before Fertilization ,35,32,2,6.4,0.2,6.98,3.87,8/09/2024,Measure ec and ph,5,4.5,0.192,20/09/2024,Measure ec and ph,18,4.6,0.192,3/10/2024,Second clip (before second split dose),30,4.7,0.29,32.2,13.3896,4.98,15/10/2024,Measured ph and ec only ,,4.6,0.39,25/10/2024,Measured ph and ec only ,4.48,1.94,3/11/2024,third clip before third dose,4.38,1.97,33.55,18.75,6.04,9/11/2024,Measured ph and ec only ,6,4.6,0.39,25/11/2024,Measured ph and ec only ,18,4.48,1.94,4/12/2024,Harvest Day,30,4.99,2.21,33.1,29,9.64,42.42,19.2,5.59,1746,
26,P6,P,3,3,P,6,3P6,UF,100,Split,3/09/2024,Before Fertilization ,35,40,2,6.2,0.3,6.41,3.81,8/09/2024,Measure ec and ph,5,4.83,0.21,20/09/2024,Measure ec and ph,18,4.93,0.21,3/10/2024,Second clip (before second split dose),30,5.03,0.3,41.1,15.1773,5.19,15/10/2024,Measured ph and ec only ,,4.93,0.4,25/10/2024,Measured ph and ec only ,4.81,1.78,3/11/2024,third clip before third dose,4.71,1.96,42.45,20.24,7.01,9/11/2024,Measured ph and ec only ,6,4.93,0.4,25/11/2024,Measured ph and ec only ,18,4.81,1.78,4/12/2024,Harvest Day,30,5.04,1.87,29.3,32.54,11.65,31.4,13.34,5.64,794,
27,P7,P,3,3,P,7,3P7,UF,120,Split,3/09/2024,Before Fertilization ,35,32,2,6.24,0.32,6.7,3.87,8/09/2024,Measure ec and ph,5,4.78,0.213,20/09/2024,Measure ec and ph,18,4.88,0.213,3/10/2024,Second clip (before second split dose),30,4.98,0.27,42.4,16.2056,5.35,15/10/2024,Measured ph and ec only ,,4.88,0.37,25/10/2024,Measured ph and ec only ,4.76,2.01,3/11/2024,third clip before third dose,4.66,1.79,43.75,19.48,6.95,9/11/2024,Measured ph and ec only ,6,4.88,0.37,25/11/2024,Measured ph and ec only ,18,4.76,2.01,4/12/2024,Harvest Day,30,4.8,2.36,27,27.62,10.94,35,13.46,5.4,872,
28,P10,P,3,3,P,10,3P10,UF,60,One-time,3/09/2024,Before Fertilization ,35,34,2,6.21,0.23,5.98,3.72,8/09/2024,Measure ec and ph,5,4.7,0.211,20/09/2024,Measure ec and ph,18,4.8,0.211,3/10/2024,Second clip (before second split dose),30,4.9,0.212,45.8,8.028,4.22,15/10/2024,Measured ph and ec only ,,4.8,0.312,25/10/2024,Measured ph and ec only ,4.68,1.81,3/11/2024,third clip before third dose,4.58,1.81,47.15,10.17,4.85,9/11/2024,Measured ph and ec only ,6,4.8,0.312,25/11/2024,Measured ph and ec only ,18,4.68,1.81,4/12/2024,Harvest Day,30,5.35,2.04,22.1,16.38,7.043,26.36,7.8,5.95,949,
29,P11,P,3,3,P,11,3P11,UF,120,One-time,3/09/2024,Before Fertilization ,35,40,2,6.34,0.29,6.32,3.79,8/09/2024,Measure ec and ph,5,4.2,0.231,20/09/2024,Measure ec and ph,18,4.3,0.231,3/10/2024,Second clip (before second split dose),30,4.4,0.21,37.9,18.7626,5.57,15/10/2024,Measured ph and ec only ,,4.3,0.31,25/10/2024,Measured ph and ec only ,4.18,1.67,3/11/2024,third clip before third dose,4.08,1.71,39.25,26.52,8.61,9/11/2024,Measured ph and ec only ,6,4.3,0.31,25/11/2024,Measured ph and ec only ,18,4.18,1.67,4/12/2024,Harvest Day,30,5.22,2.8,33.9,24.66,10.15,18.67,11.89,5.82,920,
30,P1,P,4,4,P,1,4P1,Control,0,Split,3/09/2024,Before Fertilization ,35,11,2,6.35,0.31,6.32,3.6,8/09/2024,Measure ec and ph,5,4.85,0.22,20/09/2024,Measure ec and ph,18,4.95,0.22,3/10/2024,Second clip (before second split dose),30,5.05,0.212,30.4,10.2866,4.41,15/10/2024,Measured ph and ec only ,,4.95,0.312,25/10/2024,Measured ph and ec only ,4.83,1.96,3/11/2024,third clip before third dose,4.73,1.81,31.75,14.04,5.71,9/11/2024,Measured ph and ec only ,6,4.95,0.312,25/11/2024,Measured ph and ec only ,18,4.83,1.96,4/12/2024,Harvest Day,30,5.9,2.86,31.9,22.14,8.35,33.79,9.84,6.5,1279,
31,P2,P,4,4,P,2,4P2,UF,20,Split,3/09/2024,Before Fertilization ,35,34,2,6.2,0.34,5.98,3.78,8/09/2024,Measure ec and ph,5,4.95,0.3,20/09/2024,Measure ec and ph,18,5.05,0.3,3/10/2024,Second clip (before second split dose),30,5.15,0.192,32.1,15.2889,4.89,15/10/2024,Measured ph and ec only ,,5.05,0.292,25/10/2024,Measured ph and ec only ,4.93,2.01,3/11/2024,third clip before third dose,4.83,1.76,33.45,14.38,5.6,9/11/2024,Measured ph and ec only ,6,5.05,0.292,25/11/2024,Measured ph and ec only ,18,4.93,2.01,4/12/2024,Harvest Day,30,5.7,2.1,29.1,23.12,8.01,30.1,13.3,6.3,920,
32,P3,P,4,4,P,3,4P3,UF,40,Split,3/09/2024,Before Fertilization ,35,38,2,6.25,0.28,6.41,3.87,8/09/2024,Measure ec and ph,5,4.85,0.212,20/09/2024,Measure ec and ph,18,4.95,0.212,3/10/2024,Second clip (before second split dose),30,5.05,0.231,38.8,15.907,5.31,15/10/2024,Measured ph and ec only ,,4.95,0.331,25/10/2024,Measured ph and ec only ,4.83,1.78,3/11/2024,third clip before third dose,4.73,1.84,40.15,12.58,5.67,9/11/2024,Measured ph and ec only ,6,4.95,0.331,25/11/2024,Measured ph and ec only ,18,4.83,1.78,4/12/2024,Harvest Day,30,5.45,1.95,25.4,21.48,9.5,21.31,12.57,6.05,731,
33,P4,P,4,4,P,4,4P4,UF,60,Split,3/09/2024,Before Fertilization ,35,33,2,6.21,0.32,6.33,3.77,8/09/2024,Measure ec and ph,5,4.8,0.212,20/09/2024,Measure ec and ph,18,4.9,0.212,3/10/2024,Second clip (before second split dose),30,5,0.21,40,8.2889,4.44,15/10/2024,Measured ph and ec only ,,4.9,0.31,25/10/2024,Measured ph and ec only ,4.78,1.89,3/11/2024,third clip before third dose,4.68,1.67,41.35,15.85,6.17,9/11/2024,Measured ph and ec only ,6,4.9,0.31,25/11/2024,Measured ph and ec only ,18,4.78,1.89,4/12/2024,Harvest Day,30,5.01,2.14,29.7,28.39,9.87,29.17,17.11,5.61,827,
34,P5,P,4,4,P,5,4P5,UF,80,Split,3/09/2024,Before Fertilization ,35,40,2,6.28,0.32,5.717,3.88,8/09/2024,Measure ec and ph,5,4.82,0.24,20/09/2024,Measure ec and ph,18,4.92,0.24,3/10/2024,Second clip (before second split dose),30,5.02,0.213,37.6,11.6625,5.02,15/10/2024,Measured ph and ec only ,,4.92,0.313,25/10/2024,Measured ph and ec only ,4.8,1.49,3/11/2024,third clip before third dose,4.7,1.53,38.95,18.59,6.54,9/11/2024,Measured ph and ec only ,6,4.92,0.313,25/11/2024,Measured ph and ec only ,18,4.8,1.49,4/12/2024,Harvest Day,30,5.35,2.87,31.4,26.72,9.34,30.9,17.15,5.95,1279,
35,P6,P,4,4,P,6,4P6,UF,100,Split,3/09/2024,Before Fertilization ,35,30,2,6.4,0.35,6.41,3.85,8/09/2024,Measure ec and ph,5,4.85,0.29,20/09/2024,Measure ec and ph,18,4.95,0.29,3/10/2024,Second clip (before second split dose),30,5.05,0.22,35.8,15.637,5.08,15/10/2024,Measured ph and ec only ,,4.95,0.32,25/10/2024,Measured ph and ec only ,4.83,0.9,3/11/2024,third clip before third dose,4.73,2.8,37.15,21.79,6.43,9/11/2024,Measured ph and ec only ,6,4.95,0.32,25/11/2024,Measured ph and ec only ,18,4.83,0.9,4/12/2024,Harvest Day,30,4.99,1.99,28.7,35.26,10.67,24.18,18.09,5.59,1025,
36,P7,P,4,4,P,7,4P7,UF,120,Split,3/09/2024,Before Fertilization ,35,30,2,6.34,0.29,6.98,3.89,8/09/2024,Measure ec and ph,5,4.9,0.21,20/09/2024,Measure ec and ph,18,5,0.21,3/10/2024,Second clip (before second split dose),30,5.1,0.22,29.8,16.027,5.2,15/10/2024,Measured ph and ec only ,,5,0.32,25/10/2024,Measured ph and ec only ,4.88,1.94,3/11/2024,third clip before third dose,4.78,1.92,31.15,24.14,7.57,9/11/2024,Measured ph and ec only ,6,5,0.32,25/11/2024,Measured ph and ec only ,18,4.88,1.94,4/12/2024,Harvest Day,30,4.85,2.84,32.1,26.18,10.9,41.82,16.77,5.45,2191,
