S.No,Pot ID,Plant type,Combined pot id,Block,Fertilizer type ,Dose  (N kg/ha),Treatment code,Application_method,Treatment_Type,Date,Action Item,pH_BF,EC_BF,Fresh_Biomass_1,Dry_Biomass_1,Date,Action Item,Days after First dose,pH_1(AF_1st_Split),EC_1(AF_1st_Split),Date,Action Item,Days after First dose,pH_2(AF_1st_Split),EC_2(AF_1st_Split),Date,Action Item,Day after first dose ,pH_3_AF_2nd_Split,EC_3_AF_2nd_Split,Fresh_Biomass _2,Dry_Biomass _2,Cholorphyll_content(Before2ndDose),Date,Action Item,Days after second dose,pH_4_AF_2nd_Split,EC_4_AF_2nd_Split,Date,Action Item,Days after seond dose ,pH_5_AF_3nd_Split,EC_5_AF_3nd_Split,Cholorphyll_content(Before3rdDose),Fresh_Biomass_3,Dry_Biomass_3,Date,Action Item,Days_after_third_dose,pH_6_AF_3nd_Split,EC_6_AF_3nd_Split,Date,Action Item,Days_after_third_dose,pH_7_AF_3nd_Split,EC_7_AF_3nd_Split,Date,Action Item,pH_8_atHarvestDay,EC _atHarvestDay,Cholorphyll_content(HarvestDay),Fresh_Biomass_4,Dry_Biomass_shoot_4,Fresh_Biomass_root_118days,Dry_Biomass_root_118days,Nodules_count,Lechates Ph,Lechates EC,PH Chang,Root:shoot Ratio,Potential Yield lost,COMMENT,Notes,
11,L1,L,2L1,2,None,0,1,Split,Control,20/09/2024,Before Fertilization ,5.78,0.3,4.79,3.85,8/10/2024,after Fertilization first split dose ,6,5.45,1.3,26/10/2024,after Fertilization first split dose ,18,5.35,1.3,16/10/2024,First clip (before second split dose),30,5.51,1.79,6.74,4.04,42,25/10/2024,Measured ph and ec only ,9,5.41,1.89,16/11/2024,third clip (before third  split dose),30,6.35,0.85,42.8,11.275,4.87,21/11/2024,ph/ec only,6,5.55,1.96,8/12/2024,ph/ec only,18,5.65,1.96,16/12/2024,Harvest Day,5.65,1.96,47.9,15,6.3,11.156,6.08,0,6.65,872,-0.13,0.965079365,0.12118,,,
12,L2,L,2L2,2,UF,10,2,Split,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.35,4.7848,3.78,8/10/2024,after Fertilization first split dose ,6,5.32,1.2,26/10/2024,after Fertilization first split dose ,18,5.22,1.2,16/10/2024,First clip (before second split dose),30,5.32,1.52,7.56,4.27,40.4,25/10/2024,Measured ph and ec only ,9,5.22,1.62,16/11/2024,third clip (before third  split dose),30,5.88,1.84,40.8,15.702,5.24,21/11/2024,ph/ec only,6,5.12,1.44,8/12/2024,ph/ec only,18,5.22,1.44,16/12/2024,Harvest Day,5.22,1.44,28,16.56,6.58,10.02,5.3,2,6.22,1279,-0.72,0.805471125,0.07957,,,
13,L3,L,2L3,2,UF,20,3,Split,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.32,5.3,3.93,8/10/2024,after Fertilization first split dose ,6,5.13,1.21,26/10/2024,after Fertilization first split dose ,18,5.03,1.21,16/10/2024,First clip (before second split dose),30,5.12,0.75,11.14,4.77,43.2,25/10/2024,Measured ph and ec only ,9,5.02,0.85,16/11/2024,third clip (before third  split dose),30,6.01,1.44,37.7,12.645,5.11,21/11/2024,ph/ec only,6,5.03,1.76,8/12/2024,ph/ec only,18,5.13,1.76,16/12/2024,Harvest Day,5.13,1.76,53.6,18.65,7.76,13.74,6.6,3,6.13,920,-0.55,0.850515464,0.10512,,,
14,L4,L,2L4,2,UF,30,4,Split,Fertilizer,20/09/2024,Before Fertilization ,5.35,0.35,5.3,3.79,8/10/2024,after Fertilization first split dose ,6,5.2,1.22,26/10/2024,after Fertilization first split dose ,18,5.1,1.22,16/10/2024,First clip (before second split dose),30,4.44,1.86,10.15,4.58,44.5,25/10/2024,Measured ph and ec only ,9,4.34,1.96,16/11/2024,third clip (before third  split dose),30,6.05,1.76,47,15.753,5.52,21/11/2024,ph/ec only,6,5.45,0.85,8/12/2024,ph/ec only,18,5.55,0.85,16/12/2024,Harvest Day,5.55,0.85,54.2,18.44,8.22,16.34,6.95,3,6.55,827,0.2,0.845498783,0.0365,,,
15,L5,L,2L5,2,UF,40,5,Split,Fertilizer,20/09/2024,Before Fertilization ,5.98,0.35,4.98,3.76,8/10/2024,after Fertilization first split dose ,6,5.14,1.2,26/10/2024,after Fertilization first split dose ,18,5.04,1.2,16/10/2024,First clip (before second split dose),30,5.32,1.66,4.39,3.82,38.4,25/10/2024,Measured ph and ec only ,9,5.22,1.76,16/11/2024,third clip (before third  split dose),30,5.4,1.84,50.4,6.979,4.04,21/11/2024,ph/ec only,6,4.22,1.44,8/12/2024,ph/ec only,18,4.32,1.44,16/12/2024,Harvest Day,4.32,1.44,56.8,11.81,5.44,7.68,4.51,0,5.32,1025,-1.66,0.829044118,0.07957,,,
16,L6,L,2L6,2,UF,50,6,Split,Fertilizer,20/09/2024,Before Fertilization ,5.48,0.2,5.1,3.96,8/10/2024,after Fertilization first split dose ,6,5.12,1.22,26/10/2024,after Fertilization first split dose ,18,5.02,1.22,16/10/2024,First clip (before second split dose),30,4.78,1.81,6.84,4.08,41,25/10/2024,Measured ph and ec only ,9,4.68,1.91,16/11/2024,third clip (before third  split dose),30,4.75,1.76,49.8,15.091,5.4,21/11/2024,ph/ec only,6,4.65,0.85,8/12/2024,ph/ec only,18,4.75,0.85,16/12/2024,Harvest Day,4.75,0.85,65.3,17.31,7.24,11.86,5.4,0,5.75,1679,-0.73,0.745856354,0.04745,,,
17,L7,L,2L7,2,UF,60,7,Split,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.29,4.98,3.78,8/10/2024,after Fertilization first split dose ,6,5.21,1.08,26/10/2024,after Fertilization first split dose ,18,5.11,1.08,16/10/2024,First clip (before second split dose),30,4.98,1.6,7.68,4.33,44.8,25/10/2024,Measured ph and ec only ,9,4.88,1.7,16/11/2024,third clip (before third  split dose),30,5.33,1.96,43.3,17.499,5.53,21/11/2024,ph/ec only,6,4.74,1.84,8/12/2024,ph/ec only,18,4.84,1.84,16/12/2024,Harvest Day,4.84,1.84,42.2,16.76,7.52,13.77,6.47,2,5.84,1679,-0.84,0.86037234,0.11315,,,
18,L8,L,2L8,2,MF,30,8,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.54,0.36,5.5,3.74,8/10/2024,after Fertilization first split dose ,6,5.11,1.3,26/10/2024,after Fertilization first split dose ,18,5.01,1.3,16/10/2024,First clip (before second split dose),30,5.32,1.74,8.36,4.38,45.5,25/10/2024,Measured ph and ec only ,9,5.22,1.84,16/11/2024,third clip (before third  split dose),30,6.11,0.85,47.6,13.771,5.19,21/11/2024,ph/ec only,6,5.1,1.96,8/12/2024,ph/ec only,18,5.2,1.96,16/12/2024,Harvest Day,5.2,1.96,45.9,16.17,6.96,12.79,6.35,6,6.2,1457,-0.34,0.912356322,0.1168,,,
19,L9,L,2L9,2,MF,60,9,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.23,5.66,3.79,8/10/2024,after Fertilization first split dose ,6,5.11,1.08,26/10/2024,after Fertilization first split dose ,18,5.01,1.08,16/10/2024,First clip (before second split dose),30,5.42,1.63,5.78,4,39.9,25/10/2024,Measured ph and ec only ,9,5.32,1.73,16/11/2024,third clip (before third  split dose),30,5.95,1.96,43,11.239,4.76,21/11/2024,ph/ec only,6,5.29,1.84,8/12/2024,ph/ec only,18,5.39,1.84,16/12/2024,Harvest Day,5.39,1.84,41.2,14.41,5.97,10.14,5.63,0,6.39,875,-0.29,0.943048576,0.11753,,,
20,L11,L,2L11,2,UF,60,11,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.64,0.36,5.1,3.84,8/10/2024,after Fertilization first split dose ,6,4.69,1.21,26/10/2024,after Fertilization first split dose ,18,4.59,1.21,16/10/2024,First clip (before second split dose),30,4.51,1.34,6.29,4.22,40.1,25/10/2024,Measured ph and ec only ,9,4.41,1.44,16/11/2024,third clip (before third  split dose),30,5.5,1.44,49,16.022,5.6,21/11/2024,ph/ec only,6,5.46,1.89,8/12/2024,ph/ec only,18,5.56,1.89,16/12/2024,Harvest Day,5.56,1.89,44,14.85,7.22,12.97,6.31,0,6.56,1279,-0.08,0.873961219,0.11169,,,
21,L1,L,3L1,3,None,0,1,Split,Control,20/09/2024,Before Fertilization ,5.64,0.28,5.1,3.97,8/10/2024,after Fertilization first split dose ,6,5.95,1.3,26/10/2024,after Fertilization first split dose ,18,5.85,1.3,16/10/2024,First clip (before second split dose),30,5.55,1.34,10.34,4.96,35,25/10/2024,Measured ph and ec only ,9,5.45,1.44,16/11/2024,third clip (before third  split dose),30,6.23,1.44,35.73,10.76,5.04,21/11/2024,ph/ec only,6,5.75,1.73,8/12/2024,ph/ec only,18,5.85,1.73,16/12/2024,Harvest Day,5.85,1.73,40,10.66,5.88,10.55,5.1,2,6.85,759,0.21,0.867346939,0.10585,,,
22,L2,L,3L2,3,UF,10,2,Split,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.25,5.3,3.61,8/10/2024,after Fertilization first split dose ,6,5.19,1.3,26/10/2024,after Fertilization first split dose ,18,5.09,1.3,16/10/2024,First clip (before second split dose),30,5.32,0.75,7.51,4.35,35.8,25/10/2024,Measured ph and ec only ,9,5.22,0.85,16/11/2024,third clip (before third  split dose),30,5.9,0.85,36.53,14.871,5.88,21/11/2024,ph/ec only,6,5.88,1.96,8/12/2024,ph/ec only,18,5.98,1.96,16/12/2024,Harvest Day,5.98,1.96,46.9,17.17,7.62,14.23,7.14,13,6.98,2100,0.3,0.937007874,0.12483,,,
23,L3,L,3L3,3,UF,20,3,Split,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.31,4.98,3.87,8/10/2024,after Fertilization first split dose ,6,5.49,1.21,26/10/2024,after Fertilization first split dose ,18,5.39,1.21,16/10/2024,First clip (before second split dose),30,5.34,1.6,7.16,4.2,44.4,25/10/2024,Measured ph and ec only ,9,5.24,1.7,16/11/2024,third clip (before third  split dose),30,5.34,1.7,45.13,12.068,5.54,21/11/2024,ph/ec only,6,5.17,1.62,8/12/2024,ph/ec only,18,5.27,1.62,16/12/2024,Harvest Day,5.27,1.62,41.8,13.2,7.11,15.2,6.49,14,6.27,794,-0.41,0.912798875,0.09563,,,
24,L4,L,3L4,3,UF,30,4,Split,Fertilizer,20/09/2024,Before Fertilization ,5.54,0.32,5.5,3.84,8/10/2024,after Fertilization first split dose ,6,5.26,1.2,26/10/2024,after Fertilization first split dose ,18,5.16,1.2,16/10/2024,First clip (before second split dose),30,5.32,1.74,13.88,5.25,47.7,25/10/2024,Measured ph and ec only ,9,5.22,1.84,16/11/2024,third clip (before third  split dose),30,5.32,1.84,48.43,12.356,5.43,21/11/2024,ph/ec only,6,5.47,1.7,8/12/2024,ph/ec only,18,5.57,1.7,16/12/2024,Harvest Day,5.57,1.7,45.4,18.38,8.48,20.72,8.74,2,6.57,1746,0.03,1.030660377,0.10074,,,
25,L5,L,3L5,3,UF,40,5,Split,Fertilizer,20/09/2024,Before Fertilization ,5.78,0.35,4.79,3.9,8/10/2024,after Fertilization first split dose ,6,5.12,1.21,26/10/2024,after Fertilization first split dose ,18,5.02,1.21,16/10/2024,First clip (before second split dose),30,5.48,1.79,6.87,4.13,48.3,25/10/2024,Measured ph and ec only ,9,5.38,1.89,16/11/2024,third clip (before third  split dose),30,5.21,1.89,49.03,14.708,5.74,21/11/2024,ph/ec only,6,4.85,1.73,8/12/2024,ph/ec only,18,4.95,1.73,16/12/2024,Harvest Day,4.95,1.73,44.4,16.05,7.06,14.61,6.24,0,5.95,2191,-0.83,0.883852691,0.10074,,,
26,L6,L,3L6,3,UF,50,6,Split,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.34,5.66,3.83,8/10/2024,after Fertilization first split dose ,6,5,1.3,26/10/2024,after Fertilization first split dose ,18,4.9,1.3,16/10/2024,First clip (before second split dose),30,5.12,1.63,6.72,4.11,43.5,25/10/2024,Measured ph and ec only ,9,5.02,1.73,16/11/2024,third clip (before third  split dose),30,4.9,1.73,44.23,12.961,5.15,21/11/2024,ph/ec only,6,4.93,1.76,8/12/2024,ph/ec only,18,5.03,1.76,16/12/2024,Harvest Day,5.03,1.76,53.1,16.2,7.37,15.58,6.85,0,6.03,731,-0.65,0.929443691,0.10366,,,
27,L7,L,3L7,3,UF,60,7,Split,Fertilizer,20/09/2024,Before Fertilization ,5.35,0.31,5.3,3.78,8/10/2024,after Fertilization first split dose ,6,5.03,1.08,26/10/2024,after Fertilization first split dose ,18,4.93,1.08,16/10/2024,First clip (before second split dose),30,4.98,1.86,9.44,4.56,47,25/10/2024,Measured ph and ec only ,9,4.88,1.96,16/11/2024,third clip (before third  split dose),30,4.85,1.96,47.73,12.453,5.5,21/11/2024,ph/ec only,6,4.82,1.84,8/12/2024,ph/ec only,18,4.92,1.84,16/12/2024,Harvest Day,4.92,1.84,45.6,20.21,8.6,16.18,7.18,1,5.92,2400,-0.43,0.834883721,0.11169,,,
28,L10,L,3L10,3,UF,30,10,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.98,0.32,4.98,3.78,8/10/2024,after Fertilization first split dose ,6,4.78,1.22,26/10/2024,after Fertilization first split dose ,18,4.68,1.22,16/10/2024,First clip (before second split dose),30,4.78,1.66,8.9,4.45,48.9,25/10/2024,Measured ph and ec only ,9,4.68,1.76,16/11/2024,third clip (before third  split dose),30,4.97,1.76,49.63,14.085,5.37,21/11/2024,ph/ec only,6,5.05,0.85,8/12/2024,ph/ec only,18,5.15,0.85,16/12/2024,Harvest Day,5.15,0.85,43.1,17.52,7.58,14.11,6.51,2,6.15,2163,-0.83,0.85883905,0.03869,,,
29,L11,L,3L11,3,UF,60,11,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.29,4.7848,3.77,8/10/2024,after Fertilization first split dose ,6,4.76,1.22,26/10/2024,after Fertilization first split dose ,18,4.66,1.22,16/10/2024,First clip (before second split dose),30,4.64,1.52,9.1,4.5,50.5,25/10/2024,Measured ph and ec only ,9,4.54,1.62,16/11/2024,third clip (before third  split dose),30,4.87,1.62,51.23,16.412,6.16,21/11/2024,ph/ec only,6,5.09,1.44,8/12/2024,ph/ec only,18,5.19,1.44,16/12/2024,Harvest Day,5.19,1.44,21.8,13.44,7.16,15.4,6.38,0,6.19,949,-0.75,0.891061453,0.08395,,,
30,L1,L,4L1,4,None,0,1,Split,Control,20/09/2024,Before Fertilization ,5.64,0.36,4.98,3.92,8/10/2024,after Fertilization first split dose ,6,4.75,1.23,26/10/2024,after Fertilization first split dose ,18,4.65,1.23,16/10/2024,First clip (before second split dose),30,5.43,1.81,11,4.91,43.2,25/10/2024,Measured ph and ec only ,9,5.33,1.91,16/11/2024,third clip (before third  split dose),30,5.99,1.73,43.93,9.79,4.68,21/11/2024,ph/ec only,6,5.52,1.76,8/12/2024,ph/ec only,18,5.62,1.76,16/12/2024,Harvest Day,5.62,1.76,43.93,16.04,7.2,12.24,5.74,0,6.62,920,-0.02,0.797222222,0.1022,,,
31,L2,L,4L2,4,UF,10,2,Split,Fertilizer,20/09/2024,Before Fertilization ,5.54,0.3,5.66,3.75,8/10/2024,after Fertilization first split dose ,6,5.2,1.21,26/10/2024,after Fertilization first split dose ,18,5.1,1.21,16/10/2024,First clip (before second split dose),30,5.43,1.86,5.13,4.03,43.7,25/10/2024,Measured ph and ec only ,9,5.33,1.96,16/11/2024,third clip (before third  split dose),30,5.23,1.76,44.43,10.383,4.23,21/11/2024,ph/ec only,6,5.75,0.85,8/12/2024,ph/ec only,18,5.85,0.85,16/12/2024,Harvest Day,5.85,0.85,44.43,14.92,6.69,11.71,6.05,0,6.85,875,0.31,0.904334828,0.04015,,,
32,L3,L,4L3,4,UF,20,3,Split,Fertilizer,20/09/2024,Before Fertilization ,5.79,0.35,5.1,3.74,8/10/2024,after Fertilization first split dose ,6,5.22,1.27,26/10/2024,after Fertilization first split dose ,18,5.12,1.27,16/10/2024,First clip (before second split dose),30,5.12,1.63,8.07,4.35,41.9,25/10/2024,Measured ph and ec only ,9,5.11,1.73,16/11/2024,third clip (before third  split dose),30,5.43,0.85,42.63,14.223,5.52,21/11/2024,ph/ec only,6,5.4,1.96,8/12/2024,ph/ec only,18,5.5,1.96,16/12/2024,Harvest Day,5.5,1.96,42.63,13.05,6.95,15.37,5.88,3,6.5,1457,-0.29,0.846043165,0.11753,,,
33,L4,L,4L4,4,UF,30,4,Split,Fertilizer,20/09/2024,Before Fertilization ,5.65,0.23,4.98,3.76,8/10/2024,after Fertilization first split dose ,6,5.15,1.3,26/10/2024,after Fertilization first split dose ,18,5.05,1.3,16/10/2024,First clip (before second split dose),30,5.32,1.74,7.58,4.37,43.9,25/10/2024,Measured ph and ec only ,9,5.22,1.84,16/11/2024,third clip (before third  split dose),30,5.21,0.85,44.63,14.266,5.43,21/11/2024,ph/ec only,6,5.45,1.96,8/12/2024,ph/ec only,18,5.55,1.96,16/12/2024,Harvest Day,5.55,1.96,44.63,16.64,7.28,14.18,7.06,1,6.55,1025,-0.1,0.96978022,0.12629,,,
34,L5,L,4L5,4,UF,40,5,Split,Fertilizer,20/09/2024,Before Fertilization ,5.65,0.35,5.5,3.95,8/10/2024,after Fertilization first split dose ,6,5.01,1.21,26/10/2024,after Fertilization first split dose ,18,4.91,1.21,16/10/2024,First clip (before second split dose),30,5.12,1.34,10.84,4.88,50.1,25/10/2024,Measured ph and ec only ,9,5.02,1.44,16/11/2024,third clip (before third  split dose),30,4.9,1.89,50.83,12.651,5.14,21/11/2024,ph/ec only,6,5.3,1.73,8/12/2024,ph/ec only,18,5.4,1.73,16/12/2024,Harvest Day,5.4,1.73,50.83,16.79,7.56,16.53,6.59,1,6.4,1025,-0.25,0.871693122,0.10074,,,
35,L6,L,4L6,4,UF,50,6,Split,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.2,4.79,3.79,8/10/2024,after Fertilization first split dose ,6,4.99,1.2,26/10/2024,after Fertilization first split dose ,18,4.89,1.2,16/10/2024,First clip (before second split dose),30,4.79,0.75,4.86,4.02,46.7,25/10/2024,Measured ph and ec only ,9,4.69,0.85,16/11/2024,third clip (before third  split dose),30,4.74,1.73,47.43,15.851,5.65,21/11/2024,ph/ec only,6,4.6,1.76,8/12/2024,ph/ec only,18,4.7,1.76,16/12/2024,Harvest Day,4.7,1.76,47.43,16.35,7.24,11.32,7.56,1,5.7,872,-1.24,1.044198895,0.11388,,,
36,L7,L,4L7,4,UF,60,7,Split,Fertilizer,20/09/2024,Before Fertilization ,5.78,0.29,4.7848,3.84,8/10/2024,after Fertilization first split dose ,6,5.12,1.32,26/10/2024,after Fertilization first split dose ,18,5.02,1.32,16/10/2024,First clip (before second split dose),30,4.89,1.79,13.21,5.35,44.9,25/10/2024,Measured ph and ec only ,9,4.79,1.89,16/11/2024,third clip (before third  split dose),30,4.77,1.76,45.63,15.285,6.17,21/11/2024,ph/ec only,6,4.45,0.85,8/12/2024,ph/ec only,18,4.55,0.85,16/12/2024,Harvest Day,4.55,0.85,45.63,16.44,7.8,18.17,6.04,2,5.55,827,-1.23,0.774358974,0.04088,,,
